CHARACTERS

ビテク	Biraku
シーダ	Sheeda
ジェイガン	Jeigan
カイン	Kain
アベ	Abel
ドーガ	Doga
ゴードン	Gordon
リカード	Ricardo
ベガ	Vega, or totally not Sheeda I swear
サジ	Saji
マジ	Maji
バーツ	Barts
カシム	Kashim
オグマ	Oguma
ダロス	Daros
ジュリアン	Julian
レナ	Rena
マリク	Marich
ナバール	Navarre
ハーディン	Hardin
ウルフ	Wolf
ザガロ	Zagaro
ロシェ	Roshe
マルス	Marth
バヌトゥ	Banutu
シーザ	Caesar
ラディ	Raddy
ミディア	Midia
カチュア	Katua
マリア	Maria
ミネルバ	Minerva
リンダ	Linda
ジョルジュ	George
トムス	Tomth
ミシェラン	Mishelan
トーマス	Thomas
ボア	Boa
アラン	Alan
サムソン	Samson
ベック	Beck
チェイニー	Chainy
ウェンデル	Wendel
エスト	Est
アストリア	Astria
マチス	Machis
ロジャー	Roger
ジェイク	Jake
パオラ	Paola
チキ	Chiki
ロレンス	Lawrence
エリス	Ellis
ガトー	Gato
ガザック	Gazack
アンナ	Anna
グルニア兵	Grunia
ゴメス	Gomes
ガルダ兵	Garda
サムシアン	Samsian
ムラク	Merak
エッツェル	Etzel
アテナ	Athena
ベンソン	Benson
カナリス	Canaris
マヌー	Mannu
ジューコフ	Zhukov
ショーゼン	Shozen
ヒムラー	Himmler
ギガッシュ	Gigash
ユミル	Ymir
ボーゼン	Bozen
ホルスタット	Holsard
スターロン	Stallone
ハイマン	Hyman
ノルン	Norne
オーダイン	Ordyne
カミユ	Camus
ミシェイル	Misheil
ワイラー	Wylar
ガーネフ	Garnef
メディウス	Mediuth
ドルーア兵	Durhua
グラ兵	Gra
ペラティ兵	Peraty
ホルス	Horace
くろきしだん	Black Knight
カダインマージKhadein
てつきしだん	(Iron Knight)
りゅうきしだんDragon Knight
てき	Enemy
マケドニア兵	Macedonia
てんまきしだん(Pegasus Knight)
ならずもの	(Hoodlum)
ナギ	Nagi
ダークマージ	Dark Mage
オレルアンおうOrleans
ごろつき	Thief
ガーネフ	Garnef
セシル	Cecil
ルーク	Luke
ロディ	Rody
ライアン	Ryan
ウォレン	Warren
ぎゆう兵	Volunteer	
ルーメル	Rumel
リュッケ	Ryuke
ユミナ	Yumina
ユベロ	Yubello
シリウス	Sirius
ガイル	Gile
バイキング	Viking
